"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Noah Brown","HOU","WR113","0.1","0.4","0.0","23.8","271.9","1.1","0.2","33.4"
"JaMycal Hasty","NE","RB81","34.7","166.1","1.0","13.2","84.6","0.4","0.1","33.1"
"Quez Watkins","PHI","WR114","0.4","0.8","0.0","19.5","263.8","1.2","0.2","33.1"
"Pierre Strong Jr.","CLE","RB82","37.2","185.5","1.1","8.5","69.4","0.2","0.2","33.0"
"Durham Smythe","MIA","TE37","0.0","2.9","0.0","25.9","237.8","1.5","0.0","33.0"
"Dyami Brown","WAS","WR115","2.0","14.4","0.0","13.1","214.1","1.6","0.0","32.9"
"Myles Gaskin","MIN","RB83","40.0","170.6","0.9","13.7","82.0","0.4","0.3","32.7"
"Jaleel McLaughlin","DEN","RB84","39.3","173.9","1.3","10.4","56.5","0.3","0.2","32.1"
"Luke Schoonmaker","DAL","TE38","0.0","1.4","0.0","21.0","234.9","1.5","0.3","31.9"
"Jamal Agnew","JAC","WR116","5.9","52.6","0.3","20.6","187.4","1.1","0.2","31.8"
"Puka Nacua","LAR","WR117","0.4","2.9","0.0","19.6","261.2","0.9","0.1","31.7"
"Noah Gray","KC","TE39","0.0","6.0","0.0","21.4","222.8","1.5","0.0","31.7"
"Craig Reynolds","DET","RB85","31.6","142.6","1.0","14.1","91.2","0.4","0.1","31.7"
"Olamide Zaccheaus","PHI","WR118","0.6","2.1","0.0","20.1","246.2","1.2","0.3","31.6"
"Donald Parham Jr.","LAC","TE40","0.0","0.3","0.0","19.1","207.9","1.7","0.0","31.0"
"Jordan Mason","SF","RB86","50.1","223.3","0.9","2.8","26.1","0.1","0.1","30.7"
"Adam Trautman","DEN","TE41","0.0","0.3","0.0","21.6","229.9","1.3","0.2","30.5"
"Kylen Granson","IND","TE42","0.0","3.7","0.0","22.7","233.4","1.1","0.0","30.3"
"Emari Demercado","ARI","RB87","35.4","166.5","1.1","10.6","59.7","0.2","0.2","30.3"
"Trent Sherfield","BUF","WR119","0.0","0.6","0.0","17.3","231.8","1.2","0.1","30.2"
"Michael Carter","ARI","RB88","37.2","141.6","0.6","12.6","102.2","0.4","0.2","30.1"
"Kayshon Boutte","NE","WR120","0.6","4.9","0.0","17.9","242.1","0.8","0.1","29.8"
"Brock Wright","DET","TE43","0.0","0.3","0.0","17.2","181.4","1.9","0.0","29.7"
"Foster Moreau","NO","TE44","0.0","0.3","0.0","17.7","232.1","1.2","0.3","29.7"
"Raheem Blackshear","CAR","RB89","31.6","119.7","1.3","12.9","88.3","0.3","0.4","29.6"
